,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2,rh,tp
0,JAKARTA BARAT,1,2018,2018-01-01,106.74999999999996,-6.158333333333336,773,32.9903469339916,47.29495030839942,63.57745799296609,81.91416015625,7.256567077711253
1,JAKARTA BARAT,2,2018,2018-02-01,106.74999999999996,-6.158333333333336,606,39.14552057220812,55.981318394237626,69.89625058676097,85.60763346354155,9.96540218591666
2,JAKARTA BARAT,3,2018,2018-03-01,106.74999999999996,-6.158333333333336,721,44.44306457271591,63.22595814308264,88.28705103922816,83.61339619954417,7.343809191758339
3,JAKARTA BARAT,4,2018,2018-04-01,106.74999999999996,-6.158333333333336,761,61.21402409162463,86.8873959092299,106.55995726107682,83.66941630045575,6.208610503623864
4,JAKARTA BARAT,5,2018,2018-05-01,106.74999999999996,-6.158333333333336,737,68.22975241189208,96.9865734331186,118.13367132807434,80.34615885416666,2.8957998317977047
5,JAKARTA BARAT,6,2018,2018-06-01,106.74999999999996,-6.158333333333336,521,69.65852060897909,99.03380330121728,115.97892626791764,79.28447265624986,2.969004375239229
6,JAKARTA BARAT,7,2018,2018-07-01,106.74999999999996,-6.158333333333336,720,70.59047564360489,100.39019228161015,120.37928327972364,71.59750162760403,0.4118715288738676
7,JAKARTA BARAT,8,2018,2018-08-01,106.74999999999996,-6.158333333333336,706,58.169737936116455,82.65744068955729,97.5393657215962,69.81239420572886,0.5435300618410409
8,JAKARTA BARAT,9,2018,2018-09-01,106.74999999999996,-6.158333333333336,665,60.512664184189305,85.48013440387884,95.488475316399,68.86245422363245,1.2984598800540257
9,JAKARTA BARAT,10,2018,2018-10-01,106.74999999999996,-6.158333333333336,695,60.23679925131674,85.23357251593504,87.41862501950129,72.79044799804666,2.087086786826477
10,JAKARTA BARAT,11,2018,2018-11-01,106.74999999999996,-6.158333333333336,696,58.3013135477565,82.77492165179889,91.67400779214516,81.83207906087229,7.533491955449205
11,JAKARTA BARAT,12,2018,2018-12-01,106.74999999999996,-6.158333333333336,654,41.8206946983796,59.63568610094927,76.69276132932778,80.8577779134114,5.545330742995064
12,JAKARTA BARAT,1,2019,2019-01-01,106.74999999999996,-6.158333333333336,746,39.81925331587677,56.89054900750643,73.50080510188145,83.68302205403643,7.881096194808621
13,JAKARTA BARAT,2,2019,2019-02-01,106.74999999999996,-6.158333333333336,672,46.25484828836395,65.68062006964358,75.95596656236741,84.65773010253902,8.907423724109927
14,JAKARTA BARAT,3,2019,2019-03-01,106.74999999999996,-6.158333333333336,789,45.53866398933766,64.69846928523849,92.68811420467846,83.80189717610678,8.941612541675381
15,JAKARTA BARAT,4,2019,2019-04-01,106.74999999999996,-6.158333333333336,766,55.69224475760499,78.5555604940506,107.32422735770768,83.95999857584643,8.844006024300905
16,JAKARTA BARAT,5,2019,2019-05-01,106.74999999999996,-6.158333333333336,729,62.19458659294393,88.42644114813599,121.6677277453117,81.01414286295575,2.699439637362993
17,JAKARTA BARAT,6,2019,2019-06-01,106.74999999999996,-6.158333333333336,534,65.69465882103998,93.41577234817744,121.7786073941228,74.71313374837233,0.9417491964996336
18,JAKARTA BARAT,7,2019,2019-07-01,106.74999999999996,-6.158333333333336,717,55.3676403658445,78.88631358020554,110.02685099588685,71.21834106445282,0.7421710466345385
19,JAKARTA BARAT,8,2019,2019-08-01,106.74999999999996,-6.158333333333336,728,55.06880032868376,77.81334017822589,96.35798538726732,70.11067097981751,0.6964313238859628
20,JAKARTA BARAT,9,2019,2019-09-01,106.74999999999996,-6.158333333333336,691,54.26724310463203,76.96426098805881,93.27681217345253,69.30343729654918,0.3372970720132411
21,JAKARTA BARAT,10,2019,2019-10-01,106.74999999999996,-6.158333333333336,770,61.49222516516056,86.46326167433601,91.7606828838866,69.09746704101518,1.1383194103837275
22,JAKARTA BARAT,11,2019,2019-11-01,106.74999999999996,-6.158333333333336,679,54.83955468029294,77.44081590506777,87.0142835837104,74.38977661132743,2.78810678049917
23,JAKARTA BARAT,12,2019,2019-12-01,106.74999999999996,-6.158333333333336,498,49.72530590446246,70.6112611976231,83.85521512811313,82.37423299153653,10.483941963563485
24,JAKARTA BARAT,1,2020,2020-01-01,106.74999999999996,-6.158333333333336,745,39.20152927605587,56.164344301260485,75.2853756112827,85.89500630696614,14.475729682792847
25,JAKARTA BARAT,2,2020,2020-02-01,106.74999999999996,-6.158333333333336,790,38.27991187637577,55.08045919120079,69.02909745096015,86.1364217122395,13.69126349687543
26,JAKARTA BARAT,3,2020,2020-03-01,106.74999999999996,-6.158333333333336,717,46.58930561735639,66.3666103445983,91.86351256113828,84.38978373209632,11.113327058653192
27,JAKARTA BARAT,4,2020,2020-04-01,106.74999999999996,-6.158333333333336,368,50.98097483625765,72.526713399412,107.26338834994029,84.41822509765625,7.677212382356436
28,JAKARTA BARAT,5,2020,2020-05-01,106.74999999999996,-6.158333333333336,282,55.66893495906938,79.21048668140728,120.65591727369691,83.59945475260417,5.889278029402071
29,JAKARTA BARAT,6,2020,2020-06-01,106.74999999999996,-6.158333333333336,383,59.31703106969948,84.53908886312765,117.40165610958896,81.03355712890628,2.050814616183473
30,JAKARTA BARAT,7,2020,2020-07-01,106.74999999999996,-6.158333333333336,328,61.03202390879893,87.06696933400202,123.68288403027316,77.49566752115882,1.6562249821921782
31,JAKARTA BARAT,8,2020,2020-08-01,106.74999999999996,-6.158333333333336,289,57.81892100900351,82.34101898689083,109.3092606671978,74.8413350423176,1.584933598836356
32,JAKARTA BARAT,9,2020,2020-09-01,106.74999999999996,-6.158333333333336,262,54.83256731232527,77.91499028581627,103.73900376715736,74.38914794921871,1.9451159176727912
