time,latitude,longitude,pm10,month,year
2020-01-01,-7.0,106.0,39.80001039849412,1,2020
2020-01-01,-7.0,106.05,41.54663220864061,1,2020
2020-01-01,-7.0,106.1,43.29325401878709,1,2020
2020-01-01,-7.0,106.15,45.039875828933575,1,2020
2020-01-01,-7.0,106.2,46.78649763908006,1,2020
2020-01-01,-7.0,106.25,48.53311944922654,1,2020
2020-01-01,-7.0,106.29999999999998,50.27974125937303,1,2020
2020-01-01,-7.0,106.34999999999998,52.02636306951951,1,2020
2020-01-01,-7.0,106.39999999999998,53.77298487966599,1,2020
2020-01-01,-7.0,106.44999999999996,55.51960668981248,1,2020
2020-01-01,-7.0,106.49999999999996,57.26622849995896,1,2020
2020-01-01,-7.0,106.54999999999995,59.01285031010544,1,2020
2020-01-01,-7.0,106.59999999999997,60.75947212025193,1,2020
2020-01-01,-7.0,106.64999999999996,62.506093930398414,1,2020
2020-01-01,-7.0,106.69999999999996,64.2527157405449,1,2020
2020-01-01,-7.0,106.74999999999996,65.99933755069138,1,2020
2020-01-01,-7.0,106.79999999999995,66.52971601776348,1,2020
2020-01-01,-7.0,106.84999999999997,67.06009448483452,1,2020
2020-01-01,-7.0,106.89999999999996,67.59047295190558,1,2020
2020-01-01,-7.0,106.94999999999996,68.12085141897664,1,2020
2020-01-01,-7.0,106.99999999999994,68.65122988604769,1,2020
2020-01-01,-7.0,107.04999999999994,69.18160835311875,1,2020
2020-01-01,-7.0,107.09999999999994,69.7119868201898,1,2020
2020-01-01,-7.0,107.14999999999992,70.24236528726085,1,2020
2020-01-01,-7.0,107.19999999999992,70.7727437543319,1,2020
2020-01-01,-7.0,107.24999999999991,71.30312222140296,1,2020
2020-01-01,-7.0,107.29999999999993,71.833500688474,1,2020
2020-01-01,-7.0,107.34999999999992,72.36387915554506,1,2020
2020-01-01,-7.0,107.39999999999992,72.89425762261612,1,2020
2020-01-01,-7.0,107.44999999999992,73.42463608968717,1,2020
2020-01-01,-6.95,106.0,40.1009963013621,1,2020
2020-01-01,-6.95,106.05,41.80152232950235,1,2020
2020-01-01,-6.95,106.1,43.50204835764259,1,2020
2020-01-01,-6.95,106.15,45.20257438578283,1,2020
2020-01-01,-6.95,106.2,46.90310041392308,1,2020
2020-01-01,-6.95,106.25,48.60362644206332,1,2020
2020-01-01,-6.95,106.29999999999998,50.30415247020357,1,2020
2020-01-01,-6.95,106.34999999999998,52.00467849834381,1,2020
2020-01-01,-6.95,106.39999999999998,53.70520452648405,1,2020
2020-01-01,-6.95,106.44999999999996,55.4057305546243,1,2020
2020-01-01,-6.95,106.49999999999996,57.106256582764544,1,2020
2020-01-01,-6.95,106.54999999999995,58.80678261090479,1,2020
2020-01-01,-6.95,106.59999999999997,60.50730863904504,1,2020
2020-01-01,-6.95,106.64999999999996,62.20783466718528,1,2020
2020-01-01,-6.95,106.69999999999996,63.90836069532551,1,2020
2020-01-01,-6.95,106.74999999999996,65.60888672346577,1,2020
2020-01-01,-6.95,106.79999999999995,66.10108214270319,1,2020
2020-01-01,-6.95,106.84999999999997,66.59327756193962,1,2020
2020-01-01,-6.95,106.89999999999996,67.08547298117601,1,2020
2020-01-01,-6.95,106.94999999999996,67.57766840041242,1,2020
2020-01-01,-6.95,106.99999999999994,68.06986381964882,1,2020
2020-01-01,-6.95,107.04999999999994,68.56205923888523,1,2020
2020-01-01,-6.95,107.09999999999994,69.05425465812164,1,2020
2020-01-01,-6.95,107.14999999999992,69.54645007735803,1,2020
2020-01-01,-6.95,107.19999999999992,70.03864549659444,1,2020
2020-01-01,-6.95,107.24999999999991,70.53084091583084,1,2020
2020-01-01,-6.95,107.29999999999993,71.02303633506726,1,2020
2020-01-01,-6.95,107.34999999999992,71.51523175430367,1,2020
2020-01-01,-6.95,107.39999999999992,72.00742717354007,1,2020
2020-01-01,-6.95,107.44999999999992,72.49962259277648,1,2020
2020-01-01,-6.9,106.0,40.40198220423008,1,2020
2020-01-01,-6.9,106.05,42.056412450364085,1,2020
2020-01-01,-6.9,106.1,43.71084269649809,1,2020
2020-01-01,-6.9,106.15,45.365272942632096,1,2020
2020-01-01,-6.9,106.2,47.0197031887661,1,2020
2020-01-01,-6.9,106.25,48.6741334349001,1,2020
2020-01-01,-6.9,106.29999999999998,50.328563681034105,1,2020
2020-01-01,-6.9,106.34999999999998,51.98299392716811,1,2020
2020-01-01,-6.9,106.39999999999998,53.63742417330212,1,2020
2020-01-01,-6.9,106.44999999999996,55.29185441943612,1,2020
2020-01-01,-6.9,106.49999999999996,56.946284665570126,1,2020
2020-01-01,-6.9,106.54999999999995,58.60071491170413,1,2020
2020-01-01,-6.9,106.59999999999997,60.255145157838136,1,2020
2020-01-01,-6.9,106.64999999999996,61.90957540397214,1,2020
2020-01-01,-6.9,106.69999999999996,63.56400565010614,1,2020
2020-01-01,-6.9,106.74999999999996,65.21843589624015,1,2020
2020-01-01,-6.9,106.79999999999995,65.67244826764292,1,2020
2020-01-01,-6.9,106.84999999999997,66.12646063904468,1,2020
2020-01-01,-6.9,106.89999999999996,66.58047301044643,1,2020
2020-01-01,-6.9,106.94999999999996,67.03448538184819,1,2020
2020-01-01,-6.9,106.99999999999994,67.48849775324996,1,2020
2020-01-01,-6.9,107.04999999999994,67.9425101246517,1,2020
2020-01-01,-6.9,107.09999999999994,68.39652249605346,1,2020
2020-01-01,-6.9,107.14999999999992,68.85053486745522,1,2020
2020-01-01,-6.9,107.19999999999992,69.30454723885697,1,2020
2020-01-01,-6.9,107.24999999999991,69.75855961025874,1,2020
