time,latitude,longitude,pm2p5,month,year
2020-01-01,-7.0,106.0,27.85852259989952,1,2020
2020-01-01,-7.0,106.05,29.090315933899475,1,2020
2020-01-01,-7.0,106.1,30.32210926789944,1,2020
2020-01-01,-7.0,106.15,31.553902601899395,1,2020
2020-01-01,-7.0,106.2,32.78569593589936,1,2020
2020-01-01,-7.0,106.25,34.01748926989932,1,2020
2020-01-01,-7.0,106.29999999999998,35.249282603899275,1,2020
2020-01-01,-7.0,106.34999999999998,36.48107593789924,1,2020
2020-01-01,-7.0,106.39999999999998,37.7128692718992,1,2020
2020-01-01,-7.0,106.44999999999996,38.94466260589917,1,2020
2020-01-01,-7.0,106.49999999999996,40.17645593989912,1,2020
2020-01-01,-7.0,106.54999999999995,41.40824927389909,1,2020
2020-01-01,-7.0,106.59999999999997,42.64004260789905,1,2020
2020-01-01,-7.0,106.64999999999996,43.871835941899,1,2020
2020-01-01,-7.0,106.69999999999996,45.10362927589897,1,2020
2020-01-01,-7.0,106.74999999999996,46.33542260989893,1,2020
2020-01-01,-7.0,106.79999999999995,46.711030658267454,1,2020
2020-01-01,-7.0,106.84999999999997,47.08663870663525,1,2020
2020-01-01,-7.0,106.89999999999996,47.46224675500305,1,2020
2020-01-01,-7.0,106.94999999999996,47.837854803370846,1,2020
2020-01-01,-7.0,106.99999999999994,48.21346285173864,1,2020
2020-01-01,-7.0,107.04999999999994,48.58907090010644,1,2020
2020-01-01,-7.0,107.09999999999994,48.96467894847424,1,2020
2020-01-01,-7.0,107.14999999999992,49.34028699684204,1,2020
2020-01-01,-7.0,107.19999999999992,49.71589504520984,1,2020
2020-01-01,-7.0,107.24999999999991,50.09150309357764,1,2020
2020-01-01,-7.0,107.29999999999993,50.46711114194543,1,2020
2020-01-01,-7.0,107.34999999999992,50.842719190313225,1,2020
2020-01-01,-7.0,107.39999999999992,51.21832723868103,1,2020
2020-01-01,-7.0,107.44999999999992,51.59393528704882,1,2020
2020-01-01,-6.95,106.0,28.064611012901253,1,2020
2020-01-01,-6.95,106.05,29.26355159823158,1,2020
2020-01-01,-6.95,106.1,30.46249218356191,1,2020
2020-01-01,-6.95,106.15,31.66143276889224,1,2020
2020-01-01,-6.95,106.2,32.86037335422256,1,2020
2020-01-01,-6.95,106.25,34.059313939552894,1,2020
2020-01-01,-6.95,106.29999999999998,35.25825452488321,1,2020
2020-01-01,-6.95,106.34999999999998,36.45719511021355,1,2020
2020-01-01,-6.95,106.39999999999998,37.656135695543874,1,2020
2020-01-01,-6.95,106.44999999999996,38.8550762808742,1,2020
2020-01-01,-6.95,106.49999999999996,40.05401686620453,1,2020
2020-01-01,-6.95,106.54999999999995,41.25295745153485,1,2020
2020-01-01,-6.95,106.59999999999997,42.45189803686518,1,2020
2020-01-01,-6.95,106.64999999999996,43.65083862219551,1,2020
2020-01-01,-6.95,106.69999999999996,44.84977920752584,1,2020
2020-01-01,-6.95,106.74999999999996,46.04871979285617,1,2020
2020-01-01,-6.95,106.79999999999995,46.39735769214768,1,2020
2020-01-01,-6.95,106.84999999999997,46.74599559143847,1,2020
2020-01-01,-6.95,106.89999999999996,47.09463349072927,1,2020
2020-01-01,-6.95,106.94999999999996,47.44327139002006,1,2020
2020-01-01,-6.95,106.99999999999994,47.79190928931085,1,2020
2020-01-01,-6.95,107.04999999999994,48.14054718860165,1,2020
2020-01-01,-6.95,107.09999999999994,48.48918508789244,1,2020
2020-01-01,-6.95,107.14999999999992,48.83782298718322,1,2020
2020-01-01,-6.95,107.19999999999992,49.186460886474016,1,2020
2020-01-01,-6.95,107.24999999999991,49.53509878576481,1,2020
2020-01-01,-6.95,107.29999999999993,49.8837366850556,1,2020
2020-01-01,-6.95,107.34999999999992,50.2323745843464,1,2020
2020-01-01,-6.95,107.39999999999992,50.58101248363718,1,2020
2020-01-01,-6.95,107.44999999999992,50.92965038292798,1,2020
2020-01-01,-6.9,106.0,28.270699425902983,1,2020
2020-01-01,-6.9,106.05,29.436787262563683,1,2020
2020-01-01,-6.9,106.1,30.602875099224374,1,2020
2020-01-01,-6.9,106.15,31.768962935885067,1,2020
2020-01-01,-6.9,106.2,32.935050772545765,1,2020
2020-01-01,-6.9,106.25,34.10113860920646,1,2020
2020-01-01,-6.9,106.29999999999998,35.26722644586715,1,2020
2020-01-01,-6.9,106.34999999999998,36.433314282527846,1,2020
2020-01-01,-6.9,106.39999999999998,37.59940211918854,1,2020
2020-01-01,-6.9,106.44999999999996,38.76548995584923,1,2020
2020-01-01,-6.9,106.49999999999996,39.93157779250993,1,2020
2020-01-01,-6.9,106.54999999999995,41.09766562917063,1,2020
2020-01-01,-6.9,106.59999999999997,42.26375346583132,1,2020
2020-01-01,-6.9,106.64999999999996,43.429841302492015,1,2020
2020-01-01,-6.9,106.69999999999996,44.59592913915271,1,2020
2020-01-01,-6.9,106.74999999999996,45.7620169758134,1,2020
2020-01-01,-6.9,106.79999999999995,46.083684726027904,1,2020
2020-01-01,-6.9,106.84999999999997,46.405352476241696,1,2020
2020-01-01,-6.9,106.89999999999996,46.72702022645548,1,2020
2020-01-01,-6.9,106.94999999999996,47.04868797666927,1,2020
2020-01-01,-6.9,106.99999999999994,47.370355726883055,1,2020
2020-01-01,-6.9,107.04999999999994,47.692023477096846,1,2020
2020-01-01,-6.9,107.09999999999994,48.01369122731064,1,2020
2020-01-01,-6.9,107.14999999999992,48.33535897752442,1,2020
2020-01-01,-6.9,107.19999999999992,48.657026727738206,1,2020
2020-01-01,-6.9,107.24999999999991,48.97869447795199,1,2020
