time,latitude,longitude,so2
2018-01-01,-7.0,106.0,5.665950375544071e-09
2018-01-01,-7.0,106.05,6.0074869523418585e-09
2018-01-01,-7.0,106.1,6.349023529139647e-09
2018-01-01,-7.0,106.14999999999999,6.690560105937435e-09
2018-01-01,-7.0,106.19999999999999,7.032096682735223e-09
2018-01-01,-7.0,106.24999999999999,7.373633259533011e-09
2018-01-01,-7.0,106.29999999999998,7.7151698363308e-09
2018-01-01,-7.0,106.34999999999998,8.056706413128587e-09
2018-01-01,-7.0,106.39999999999998,8.398242989926374e-09
2018-01-01,-7.0,106.44999999999997,8.739779566724162e-09
2018-01-01,-7.0,106.49999999999997,9.081316143521951e-09
2018-01-01,-7.0,106.54999999999997,9.422852720319739e-09
2018-01-01,-7.0,106.59999999999997,9.764389297117526e-09
2018-01-01,-7.0,106.64999999999996,1.0105925873915315e-08
2018-01-01,-7.0,106.69999999999996,1.0447462450713103e-08
2018-01-01,-7.0,106.74999999999996,1.078899902751089e-08
2018-01-01,-7.0,106.79999999999995,1.0928177947751642e-08
2018-01-01,-7.0,106.84999999999995,1.106735686799222e-08
2018-01-01,-7.0,106.89999999999995,1.1206535788232798e-08
2018-01-01,-7.0,106.94999999999995,1.1345714708473376e-08
2018-01-01,-7.0,106.99999999999994,1.1484893628713956e-08
2018-01-01,-7.0,107.04999999999994,1.1624072548954534e-08
2018-01-01,-7.0,107.09999999999994,1.1763251469195112e-08
2018-01-01,-7.0,107.14999999999993,1.190243038943569e-08
2018-01-01,-7.0,107.19999999999993,1.204160930967627e-08
2018-01-01,-7.0,107.24999999999993,1.2180788229916848e-08
2018-01-01,-7.0,107.29999999999993,1.2319967150157426e-08
2018-01-01,-7.0,107.34999999999992,1.2459146070398006e-08
2018-01-01,-7.0,107.39999999999992,1.2598324990638584e-08
2018-01-01,-7.0,107.44999999999992,1.2737503910879162e-08
2018-01-01,-6.95,106.0,5.716307782677176e-09
2018-01-01,-6.95,106.05,6.053023528333274e-09
2018-01-01,-6.95,106.1,6.389739273989372e-09
2018-01-01,-6.95,106.14999999999999,6.72645501964547e-09
2018-01-01,-6.95,106.19999999999999,7.0631707653015674e-09
2018-01-01,-6.95,106.24999999999999,7.399886510957665e-09
2018-01-01,-6.95,106.29999999999998,7.736602256613764e-09
2018-01-01,-6.95,106.34999999999998,8.07331800226986e-09
2018-01-01,-6.95,106.39999999999998,8.41003374792596e-09
2018-01-01,-6.95,106.44999999999997,8.746749493582056e-09
2018-01-01,-6.95,106.49999999999997,9.083465239238155e-09
2018-01-01,-6.95,106.54999999999997,9.420180984894252e-09
2018-01-01,-6.95,106.59999999999997,9.75689673055035e-09
2018-01-01,-6.95,106.64999999999996,1.0093612476206449e-08
2018-01-01,-6.95,106.69999999999996,1.0430328221862546e-08
2018-01-01,-6.95,106.74999999999996,1.0767043967518643e-08
2018-01-01,-6.95,106.79999999999995,1.0898771031590233e-08
2018-01-01,-6.95,106.84999999999995,1.1030498095661648e-08
2018-01-01,-6.95,106.89999999999995,1.1162225159733063e-08
2018-01-01,-6.95,106.94999999999995,1.1293952223804478e-08
2018-01-01,-6.95,106.99999999999994,1.1425679287875893e-08
2018-01-01,-6.95,107.04999999999994,1.1557406351947307e-08
2018-01-01,-6.95,107.09999999999994,1.1689133416018722e-08
2018-01-01,-6.95,107.14999999999993,1.1820860480090137e-08
2018-01-01,-6.95,107.19999999999993,1.1952587544161552e-08
2018-01-01,-6.95,107.24999999999993,1.2084314608232967e-08
2018-01-01,-6.95,107.29999999999993,1.221604167230438e-08
2018-01-01,-6.95,107.34999999999992,1.2347768736375795e-08
2018-01-01,-6.95,107.39999999999992,1.247949580044721e-08
2018-01-01,-6.95,107.44999999999992,1.2611222864518625e-08
2018-01-01,-6.9,106.0,5.766665189810283e-09
2018-01-01,-6.9,106.05,6.09856010432469e-09
2018-01-01,-6.9,106.1,6.430455018839098e-09
2018-01-01,-6.9,106.14999999999999,6.762349933353505e-09
2018-01-01,-6.9,106.19999999999999,7.094244847867912e-09
2018-01-01,-6.9,106.24999999999999,7.42613976238232e-09
2018-01-01,-6.9,106.29999999999998,7.758034676896728e-09
2018-01-01,-6.9,106.34999999999998,8.089929591411135e-09
2018-01-01,-6.9,106.39999999999998,8.421824505925543e-09
2018-01-01,-6.9,106.44999999999997,8.75371942043995e-09
2018-01-01,-6.9,106.49999999999997,9.085614334954357e-09
2018-01-01,-6.9,106.54999999999997,9.417509249468765e-09
2018-01-01,-6.9,106.59999999999997,9.749404163983173e-09
2018-01-01,-6.9,106.64999999999996,1.008129907849758e-08
2018-01-01,-6.9,106.69999999999996,1.0413193993011987e-08
2018-01-01,-6.9,106.74999999999996,1.0745088907526395e-08
2018-01-01,-6.9,106.79999999999995,1.0869364115428824e-08
2018-01-01,-6.9,106.84999999999995,1.0993639323331074e-08
2018-01-01,-6.9,106.89999999999995,1.1117914531233326e-08
2018-01-01,-6.9,106.94999999999995,1.1242189739135576e-08
2018-01-01,-6.9,106.99999999999994,1.1366464947037827e-08
2018-01-01,-6.9,107.04999999999994,1.1490740154940077e-08
2018-01-01,-6.9,107.09999999999994,1.1615015362842329e-08
2018-01-01,-6.9,107.14999999999993,1.173929057074458e-08
2018-01-01,-6.9,107.19999999999993,1.186356577864683e-08
2018-01-01,-6.9,107.24999999999993,1.1987840986549082e-08
2018-01-01,-6.9,107.29999999999993,1.2112116194451332e-08
2018-01-01,-6.9,107.34999999999992,1.2236391402353584e-08
2018-01-01,-6.9,107.39999999999992,1.2360666610255835e-08
