,KABKOT,month,year,longitude,latitude,pm2p5,time
7,JAKARTA BARAT,3,2021,106.74999999999996,-6.158333333333336,46.07152420849646,2021-03-01
10,JAKARTA BARAT,4,2021,106.74999999999996,-6.158333333333336,59.90305018342807,2021-04-01
13,JAKARTA BARAT,5,2021,106.74999999999996,-6.158333333333336,64.21186325766837,2021-05-01
16,JAKARTA BARAT,6,2021,106.74999999999996,-6.158333333333336,59.50422192116073,2021-06-01
19,JAKARTA BARAT,7,2021,106.74999999999996,-6.158333333333336,62.782235388741555,2021-07-01
22,JAKARTA BARAT,8,2021,106.74999999999996,-6.158333333333336,63.65226924111163,2021-08-01
25,JAKARTA BARAT,9,2021,106.74999999999996,-6.158333333333336,57.234406720180914,2021-09-01
28,JAKARTA BARAT,10,2021,106.74999999999996,-6.158333333333336,60.19103756058352,2021-10-01
31,JAKARTA BARAT,11,2021,106.74999999999996,-6.158333333333336,40.761925478428196,2021-11-01
34,JAKARTA BARAT,12,2021,106.74999999999996,-6.158333333333336,42.6893768857968,2021-12-01
37,JAKARTA PUSAT,1,2021,106.84999999999997,-6.200000000000003,40.17870171087643,2021-01-01
40,JAKARTA PUSAT,2,2021,106.84999999999997,-6.200000000000003,38.09197954988507,2021-02-01
43,JAKARTA PUSAT,3,2021,106.84999999999997,-6.200000000000003,47.97457590891931,2021-03-01
46,JAKARTA PUSAT,4,2021,106.84999999999997,-6.200000000000003,61.49780557980997,2021-04-01
49,JAKARTA PUSAT,5,2021,106.84999999999997,-6.200000000000003,65.18109853933267,2021-05-01
52,JAKARTA PUSAT,6,2021,106.84999999999997,-6.200000000000003,60.50684868104948,2021-06-01
55,JAKARTA PUSAT,7,2021,106.84999999999997,-6.200000000000003,63.25307863856383,2021-07-01
58,JAKARTA PUSAT,8,2021,106.84999999999997,-6.200000000000003,63.65321183921112,2021-08-01
61,JAKARTA PUSAT,9,2021,106.84999999999997,-6.200000000000003,57.55683722223269,2021-09-01
64,JAKARTA PUSAT,10,2021,106.84999999999997,-6.200000000000003,60.91177882675996,2021-10-01
67,JAKARTA PUSAT,11,2021,106.84999999999997,-6.200000000000003,42.553280135137925,2021-11-01
70,JAKARTA PUSAT,12,2021,106.84999999999997,-6.200000000000003,44.47647510730224,2021-12-01
73,JAKARTA SELATAN,1,2021,106.8083333333333,-6.283333333333336,41.806706950629774,2021-01-01
76,JAKARTA SELATAN,2,2021,106.8083333333333,-6.283333333333336,39.51856382380618,2021-02-01
79,JAKARTA SELATAN,3,2021,106.8083333333333,-6.283333333333336,49.68305248937467,2021-03-01
82,JAKARTA SELATAN,4,2021,106.8083333333333,-6.283333333333336,64.11036947737466,2021-04-01
85,JAKARTA SELATAN,5,2021,106.8083333333333,-6.283333333333336,69.3018236278919,2021-05-01
88,JAKARTA SELATAN,6,2021,106.8083333333333,-6.283333333333336,64.02475029649415,2021-06-01
91,JAKARTA SELATAN,7,2021,106.8083333333333,-6.283333333333336,67.68742166269483,2021-07-01
94,JAKARTA SELATAN,8,2021,106.8083333333333,-6.283333333333336,67.48722358235925,2021-08-01
97,JAKARTA SELATAN,9,2021,106.8083333333333,-6.283333333333336,60.489308063078816,2021-09-01
100,JAKARTA SELATAN,10,2021,106.8083333333333,-6.283333333333336,63.0986094170749,2021-10-01
103,JAKARTA SELATAN,11,2021,106.8083333333333,-6.283333333333336,43.85942539893593,2021-11-01
106,JAKARTA SELATAN,12,2021,106.8083333333333,-6.283333333333336,45.70104759272248,2021-12-01
109,JAKARTA TIMUR,1,2021,106.90999999999997,-6.2600000000000025,41.41610012572031,2021-01-01
112,JAKARTA TIMUR,2,2021,106.90999999999997,-6.2600000000000025,39.0809438558885,2021-02-01
115,JAKARTA TIMUR,3,2021,106.90999999999997,-6.2600000000000025,49.290199373312184,2021-03-01
118,JAKARTA TIMUR,4,2021,106.90999999999997,-6.2600000000000025,62.542514311777516,2021-04-01
121,JAKARTA TIMUR,5,2021,106.90999999999997,-6.2600000000000025,66.18750581329508,2021-05-01
124,JAKARTA TIMUR,6,2021,106.90999999999997,-6.2600000000000025,61.391554564713104,2021-06-01
127,JAKARTA TIMUR,7,2021,106.90999999999997,-6.2600000000000025,63.950001215101295,2021-07-01
130,JAKARTA TIMUR,8,2021,106.90999999999997,-6.2600000000000025,63.66687716408287,2021-08-01
133,JAKARTA TIMUR,9,2021,106.90999999999997,-6.2600000000000025,57.63515105587292,2021-09-01
136,JAKARTA TIMUR,10,2021,106.90999999999997,-6.2600000000000025,60.95969722689667,2021-10-01
139,JAKARTA TIMUR,11,2021,106.90999999999997,-6.2600000000000025,43.724863690641584,2021-11-01
142,JAKARTA TIMUR,12,2021,106.90999999999997,-6.2600000000000025,45.59658106861855,2021-12-01
145,JAKARTA UTARA,1,2021,106.89166666666664,-6.1250000000000036,38.16883284201037,2021-01-01
148,JAKARTA UTARA,2,2021,106.89166666666664,-6.1250000000000036,36.3420534298264,2021-02-01
151,JAKARTA UTARA,3,2021,106.89166666666664,-6.1250000000000036,45.552221868108404,2021-03-01
154,JAKARTA UTARA,4,2021,106.89166666666664,-6.1250000000000036,57.99438752044778,2021-04-01
157,JAKARTA UTARA,5,2021,106.89166666666664,-6.1250000000000036,60.373464643407495,2021-05-01
160,JAKARTA UTARA,6,2021,106.89166666666664,-6.1250000000000036,56.286821479290886,2021-06-01
163,JAKARTA UTARA,7,2021,106.89166666666664,-6.1250000000000036,58.248720535344056,2021-07-01
166,JAKARTA UTARA,8,2021,106.89166666666664,-6.1250000000000036,59.06121635411725,2021-08-01
169,JAKARTA UTARA,9,2021,106.89166666666664,-6.1250000000000036,53.791922215318046,2021-09-01
172,JAKARTA UTARA,10,2021,106.89166666666664,-6.1250000000000036,57.72457516033962,2021-10-01
175,JAKARTA UTARA,11,2021,106.89166666666664,-6.1250000000000036,40.64952744877962,2021-11-01
178,JAKARTA UTARA,12,2021,106.89166666666664,-6.1250000000000036,42.55326624106687,2021-12-01
2,JAKARTA BARAT,1,2022,106.74999999999996,-6.158333333333336,40.90713125817418,2022-01-01
5,JAKARTA BARAT,2,2022,106.74999999999996,-6.158333333333336,43.45432009284525,2022-02-01
8,JAKARTA BARAT,3,2022,106.74999999999996,-6.158333333333336,48.80647194492699,2022-03-01
11,JAKARTA BARAT,4,2022,106.74999999999996,-6.158333333333336,52.90078106530845,2022-04-01
14,JAKARTA BARAT,5,2022,106.74999999999996,-6.158333333333336,58.32538483198181,2022-05-01
17,JAKARTA BARAT,6,2022,106.74999999999996,-6.158333333333336,63.35976657704594,2022-06-01
20,JAKARTA BARAT,7,2022,106.74999999999996,-6.158333333333336,63.042980759715135,2022-07-01
23,JAKARTA BARAT,8,2022,106.74999999999996,-6.158333333333336,65.0149471109137,2022-08-01
26,JAKARTA BARAT,9,2022,106.74999999999996,-6.158333333333336,64.44288414305281,2022-09-01
29,JAKARTA BARAT,10,2022,106.74999999999996,-6.158333333333336,50.67775292842787,2022-10-01
32,JAKARTA BARAT,11,2022,106.74999999999996,-6.158333333333336,47.2060483162426,2022-11-01
35,JAKARTA BARAT,12,2022,106.74999999999996,-6.158333333333336,39.09523577020662,2022-12-01
38,JAKARTA PUSAT,1,2022,106.84999999999997,-6.200000000000003,42.58204522026656,2022-01-01
41,JAKARTA PUSAT,2,2022,106.84999999999997,-6.200000000000003,45.01013937859475,2022-02-01
44,JAKARTA PUSAT,3,2022,106.84999999999997,-6.200000000000003,50.82232929609614,2022-03-01
47,JAKARTA PUSAT,4,2022,106.84999999999997,-6.200000000000003,54.61809863049916,2022-04-01
50,JAKARTA PUSAT,5,2022,106.84999999999997,-6.200000000000003,59.80001694420463,2022-05-01
53,JAKARTA PUSAT,6,2022,106.84999999999997,-6.200000000000003,64.61928670376062,2022-06-01
56,JAKARTA PUSAT,7,2022,106.84999999999997,-6.200000000000003,63.80662168699895,2022-07-01
59,JAKARTA PUSAT,8,2022,106.84999999999997,-6.200000000000003,65.2351581583366,2022-08-01
62,JAKARTA PUSAT,9,2022,106.84999999999997,-6.200000000000003,64.9306246221699,2022-09-01
65,JAKARTA PUSAT,10,2022,106.84999999999997,-6.200000000000003,52.23613099995365,2022-10-01
68,JAKARTA PUSAT,11,2022,106.84999999999997,-6.200000000000003,48.89824338623804,2022-11-01
71,JAKARTA PUSAT,12,2022,106.84999999999997,-6.200000000000003,40.74392069360502,2022-12-01
74,JAKARTA SELATAN,1,2022,106.8083333333333,-6.283333333333336,43.86629603016038,2022-01-01
77,JAKARTA SELATAN,2,2022,106.8083333333333,-6.283333333333336,46.59692387992052,2022-02-01
80,JAKARTA SELATAN,3,2022,106.8083333333333,-6.283333333333336,52.105930138387016,2022-03-01
83,JAKARTA SELATAN,4,2022,106.8083333333333,-6.283333333333336,56.77094467612966,2022-04-01
86,JAKARTA SELATAN,5,2022,106.8083333333333,-6.283333333333336,62.788303973388686,2022-05-01
89,JAKARTA SELATAN,6,2022,106.8083333333333,-6.283333333333336,67.9053808417945,2022-06-01
92,JAKARTA SELATAN,7,2022,106.8083333333333,-6.283333333333336,67.99453154589783,2022-07-01
95,JAKARTA SELATAN,8,2022,106.8083333333333,-6.283333333333336,69.51203761238338,2022-08-01
98,JAKARTA SELATAN,9,2022,106.8083333333333,-6.283333333333336,67.64859977748173,2022-09-01
101,JAKARTA SELATAN,10,2022,106.8083333333333,-6.283333333333336,53.80438179313084,2022-10-01
104,JAKARTA SELATAN,11,2022,106.8083333333333,-6.283333333333336,50.15735798918871,2022-11-01
107,JAKARTA SELATAN,12,2022,106.8083333333333,-6.283333333333336,41.6131503551868,2022-12-01
110,JAKARTA TIMUR,1,2022,106.90999999999997,-6.2600000000000025,43.82183341059902,2022-01-01
113,JAKARTA TIMUR,2,2022,106.90999999999997,-6.2600000000000025,46.182164092319475,2022-02-01
116,JAKARTA TIMUR,3,2022,106.90999999999997,-6.2600000000000025,52.09488719415374,2022-03-01
119,JAKARTA TIMUR,4,2022,106.90999999999997,-6.2600000000000025,55.77670949108453,2022-04-01
122,JAKARTA TIMUR,5,2022,106.90999999999997,-6.2600000000000025,60.884886688465734,2022-05-01
125,JAKARTA TIMUR,6,2022,106.90999999999997,-6.2600000000000025,65.50830676133123,2022-06-01
128,JAKARTA TIMUR,7,2022,106.90999999999997,-6.2600000000000025,64.63948539211256,2022-07-01
